method,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,emergency_days,emergency_intervals,curtailment_kwh,unused_plan_kwh,charge_kwh,discharge_kwh,terminal_soc_kwh
conflict_driven_stochastic,24240218.7191,15008198.8736,9232019.84545,23810400.1134,1711097.53468,239,11076,2105007.32809,4730272.39033,3954906.39934,3207877.96461,1200
point_forecast,25452348.7861,11746793.6627,13705555.1234,19506625.8942,2789274.89875,240,20427,1616079.0812,1798048.32561,4984241.81252,4041657.9213,1200
