method,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,emergency_days,emergency_intervals,curtailment_kwh,unused_plan_kwh,charge_kwh,discharge_kwh,terminal_soc_kwh
conflict_driven_stochastic,24241387.4265,15009070.0067,9232317.41981,23811527.7852,1710267.8425,239,11067,2104815.14013,4731191.24638,3952650.14388,3206050.3977,1200
point_forecast,25452348.7861,11746793.6627,13705555.1234,19506625.8942,2789274.89875,240,20427,1616079.0812,1798048.32561,4984241.81252,4041657.9213,1200
