date,method,passed,balance_max_abs_kwh,soc_recurrence_max_abs_kwh,emergency_definition_max_abs_kwh,cost_max_abs_yuan,within_day_soc_continuity_max_abs_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,charge_discharge_conflicts,charge_emergency_conflicts,source_causal,plan_frozen,solver_method,solver_success,solver_status_code,mip_gap,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,model_max_constraint_violation
2025-02-20,stochastic,True,2.27373675443e-13,8.63309423949e-13,0,0,0,1200,8331.98452108,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,5.96930566591e-05,62,1,576,2880,4.54747350886e-12
2025-02-21,stochastic,True,1.13686837722e-13,6.8212102633e-13,0,0,0,1373.37609015,10800,833.333333333,475.426666667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.03662859673e-05,32,1,720,2880,1.33468347485e-10
2025-02-22,stochastic,True,1.13686837722e-13,9.09494701773e-13,0,0,0,4797.41317508,10800,833.333333333,488.9455,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,9.69729840145e-05,32,1,576,2880,2.93664389603e-09
2025-02-23,stochastic,True,2.27373675443e-13,4.08562073062e-13,0,0,0,1200,7516.33568838,833.333333333,825.036816667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,9.07577170037e-06,35,1,720,2880,1.7166712496e-11
2025-02-24,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7644.64814905,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.34926483155e-05,33,1,576,2880,7.75685293775e-10
2025-02-25,stochastic,True,2.27373675443e-13,5.22248910784e-13,0,0,0,1200,8192.34011926,833.333333333,829.564285714,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00020359776766,43,1,720,2880,3.99609234591e-10
2025-02-26,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7153.6083911,833.333333333,804.70125,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,3.2132312606e-05,35,2,720,2880,7.0258465712e-11
2025-02-27,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,7607.35381587,833.333333333,827.801661905,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,3.90110671466e-05,35,1,720,2880,1.3703811419e-09
2025-02-28,stochastic,True,1.13686837722e-13,5.68434188608e-13,0,0,0,1588.82342992,10800,833.333333333,495.463333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,7.07196833427e-05,28,1,576,2880,2.23531060328e-09
2025-03-01,stochastic,True,1.13686837722e-13,6.25277607469e-13,0,0,0,4939.25361233,10800,833.333333333,478.946833333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000203392774677,39,1,576,2880,9.77161107585e-09
2025-03-02,stochastic,True,1.26121335597e-13,4.4408920985e-13,0,0,0,1200,7202.16372778,833.333333333,756.50457619,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,4.60719836575e-08,26,1,576,2880,1.87157411347e-07
